,content,like_count,comment_count,date
33,"Our people are Slalom’s greatest strength, and we're especially grateful in times like these to have team members around the world who truly live out our core values. #LoveYourFuture
Play
Grateful for each other
",48,0,3w •
34,"As webinar fatigue rises, how do you create a meaningful webinar experience—and drive towards conversions? Before planning your next one, check out this article from this Slalom's Daniel Burkhardt: https://bit.ly/395VnzJ
Creating webinars (that actually convert) in a COVID world
medium.com • 4 min read
",20,0,3w •
35,"Slalom conducted a survey of 1,000 business decision-makers across multiple industries. Our goal: discover where companies see themselves in their journey to fully harnessing the power of data. How does your organization compare? Download the report to learn more: https://slalom.ws/36kHOcD
…see more
4 key findings about data culture you shouldn't ignore
go.slalom.com • 1 min read
",10,0,3w •
36,"At Slalom Presents, we heard from legendary leaders about the importance of a game-changing coach. We're sharing some of our favorite leadership insights, like this one from Sarah Moesker, general manager in Slalom Phoenix—she makes sure she's a coach, but also a sponsor. Read more in her Q&A:
…see more
Meet Phoenix general manager Sarah Moesker | Slalom
slalom.com • 2 min read
",41,1,
37,"Coaching through a Crisis, our second program in the Slalom Presents virtual series, explored how great coaching can change the game. To continue building your coaching habits, we put together insights and resources to help you build strong, resilient teams. Learn more here: https://slalom.ws/35Fdt9y
…see more
Activate link to view larger image.
",17,0,3w •
38,"Congratulations to Alex Hatcher, a solution architect in Slalom New York City, for achieving his 6th specialty Amazon Web Services (AWS) certification—making this his 12th certification overall! Only a handful of people at Slalom have achieved all 12 AWS certifications which earns them the distinction of Cloudius Maximus.
…see more
Activate link to view larger image.
",94,0,3w •
39,"Get unstuck on your #digitaltransformation with Amazon Web Services (AWS) | Slalom Launch Centers. Our Transformation Launchpad has modern insights and a Cloud Disruptor quiz to help you get started on creating real, lasting impacts. Check it out here: https://slalom.ws/3lmUru8 #reInvent
…see more
Play
Get unstuck with Launch Centers
",48,0,3w •
40,"The Lakehouse is a blend of the best features of data warehouses and data lakes. With the release of SQL analytics, Databricks is quickly bringing the concept to reality. Learn more on the Slalom #DataAnalytics blog: https://bit.ly/3kvIiSp
Introducing Databricks SQL Analytics
medium.com • 3 min read
",49,0,3w •
41,"Prism, our LGBTQ+ employee resource group, along with friends and allies around the globe, pauses this day to honor the memory of transgender people whose lives were lost in acts of anti-transgender violence.

Learn more about Transgender Day of Remembrance from :
…see more
Transgender Day of Remembrance
glaad.org • 2 min read
",62,0,3w •
42,"Supply chain agility is about building an integrative capability across people, processes, technology, and leadership. In an interview with TraceLink, Slalom global #supplychain practice leader Harshad Kanvinde offers insights on how to boost it across your organization. https://lnkd.in/g8-huGT
…see more
youtube.com
",17,0,3w •
43,"Join Slalom and Salesforce experts to learn how #datadriven insights can uncover new business opportunities across your ecosystem: https://bit.ly/35HaLQY
Register for the Future of Gaming webinar
event.on24.com • 1 min read
",13,0,3w •
44,"Are budget and staffing constraints making it a challenge to communicate with your constituents? Is your call center unable to keep up with demand? Learn how our multi-lingual chatbot can be delivered in 4-6 weeks, quickly getting your community the information they need: https://slalom.ws/3falp5W
…see more
Activate link to view larger image.
",16,0,3w •
45,"Slalom was founded on the idea of loving your work and life, and we’re thankful that our employees never quit being true to our core values, even during challenging times. Thank you Earvin ""Magic"" Johnson for speaking at Slalom Presents, happening around the globe today!

Be on the lookout for more information about our third program in February, but in the meantime, check out these resources for building stronger, more resilient teams:
…see more
Learning from Slalom Presents
slalom.com • 1 min read
",401,20,
46,"“It’s ok to let down your guard in the office—bringing your true self and building meaningful personal connections magnifies shared achievements big and small. The best connections are established when working hard and working together, while having fun.” Thank you, Kasia Stein, PMP for helping us #CelebrateAuthenticity! We're honored to be recognized as a 2020 for Women by Great Place to Work and Fortune.
…see more
Activate link to view larger image.
",32,0,1mo •
47,"If you're making the jump to Snowflake, here's how to establish a sustainable and adaptive enterprise data warehouse: https://slalom.ws/37534ST
Four keys to success with Snowflake
slalom.com • 3 min read
",9,0,1mo •
48,"Slalom knows public sector. And we work where we live, so we’re already invested in your success. Discover a better way to deliver for your constituents with time-saving Salesforce solutions by Slalom: https://slalom.ws/3falp5W
Activate link to view larger image.
",36,0,1mo •
49,"Movember raises awareness and money for men’s physical and mental health. From Handlebars to Mutton Chops, our ‘staches raise funds to address some of the biggest health issues faced by men today: prostate cancer, testicular cancer, mental health issues, and suicide. Help us reach our #Movember goal by donating here:
…see more
Help Slalom reach it's Movember goal
us.movember.com • 1 min read
",48,0,1mo •
50,"How does great coaching change the game? Get insights from legendary athletes and coaches who led their teams through challenging times to extraordinary outcomes—in and out of the game. Join us tomorrow for Slalom Presents: https://slalom.ws/323A11y
…see more
Join us November 18 for Slalom Presents
go.slalom.com • 1 min read
",7,0,1mo •
